Result,Support,Confidence,lift
"'light cream', 'chicken'",0.004532728969470737,0.29059829059829057,4.84395061728395
"'mushroom cream sauce', 'escalope'",0.005732568990801226,0.3006993006993007,3.790832696715049
"'pasta', 'escalope'",0.005865884548726837,0.3728813559322034,4.700811850163794
"'fromage blanc', 'honey'",0.003332888948140248,0.2450980392156863,5.164270764485569
"'herb & pepper', 'ground beef'",0.015997866951073192,0.3234501347708895,3.2919938411349285
"'ground beef', 'tomato sauce'",0.005332622317024397,0.3773584905660377,3.840659481324083
"'olive oil', 'light cream'",0.003199573390214638,0.20512820512820515,3.1147098515519573
"'whole wheat pasta', 'olive oil'",0.007998933475536596,0.2714932126696833,4.122410097642296
"'shrimp', 'pasta'",0.005065991201173177,0.3220338983050847,4.506672147735896
"'spaghetti', 'avocado', 'milk'",0.003332888948140248,0.41666666666666663,3.215449245541838
"'burgers', 'milk', 'cake'",0.0037328356219170776,0.27999999999999997,3.211437308868501
"'chocolate', 'turkey', 'burgers'",0.0030662578322890282,0.27058823529411763,3.1034898363014927
"'turkey', 'burgers', 'milk'",0.003199573390214638,0.2823529411764706,3.2384241770102533
"'tomatoes', 'frozen vegetables', 'cake'",0.0030662578322890282,0.2987012987012987,4.367560314928736
"'spaghetti', 'cereals', 'ground beef'",0.0030662578322890282,0.6764705882352942,3.8853031258445188
"'milk', 'ground beef', 'chicken'",0.0038661511798426876,0.40845070422535207,3.152046020981858
"'nan', 'light cream', 'chicken'",0.004532728969470737,0.29059829059829057,4.84395061728395
"'olive oil', 'milk', 'chicken'",0.0035995200639914677,0.24324324324324323,3.693456614509246
"'spaghetti', 'olive oil', 'chicken'",0.0034662045060658577,0.20155038759689922,3.0603835169318647
"'chocolate', 'shrimp', 'frozen vegetables'",0.005332622317024397,0.23255813953488375,3.2545123221103784
"'chocolate', 'herb & pepper', 'ground beef'",0.003999466737768298,0.4411764705882354,4.4901827759597746
"'chocolate', 'soup', 'milk'",0.003999466737768298,0.3947368421052632,3.0462150747238472
"'spaghetti', 'cooking oil', 'ground beef'",0.004799360085321957,0.5714285714285714,3.2819951870487856
"'eggs', 'herb & pepper', 'ground beef'",0.0041327822956939075,0.2066666666666667,4.178454627133872
"'eggs', 'spaghetti', 'red wine'",0.0037328356219170776,0.5283018867924528,3.0342974370828397
"'mushroom cream sauce', 'nan', 'escalope'",0.005732568990801226,0.3006993006993007,3.790832696715049
"'pasta', 'nan', 'escalope'",0.005865884548726837,0.3728813559322034,4.700811850163794
"'french fries', 'ground beef', 'herb & pepper'",0.003199573390214638,0.23076923076923078,4.665768194070081
"'fromage blanc', 'honey', 'nan'",0.003332888948140248,0.2450980392156863,5.164270764485569
"'tomatoes', 'green tea', 'frozen vegetables'",0.003332888948140248,0.2314814814814815,3.38468341635983
"'spaghetti', 'ground beef', 'frozen vegetables'",0.008665511265164644,0.31100478468899523,3.165328208890303
